"Name","Team","Games","Points","G","A","PM","PIM","S","SOFF","LB","TO","CT","FO_W","FO","PointsPG","GPG","APG","PMPG","PIMPG","SPG","SOFFPG","LBPG","TOPG","CTPG","FO_WPG","FOPG","ATO_ration","FOpercent","ShootingPct","AdjShootingPct"
"A.Bomberry","New England ",1,0,0,0,0,6,1,0,3,0,1,0,1,0,0,0,0,6,1,0,3,0,1,0,1,NA,0,0,0
"A.Buque","New England ",1,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"A.Crepinsek","Georgia ",1,0,0,0,0,0,0,0,6,1,0,NA,NA,0,0,0,0,0,0,0,6,1,0,NA,NA,0,NA,NA,NA
"A.Jay","Toronto ",2,1,0,1,0,0,0,1,2,0,0,NA,NA,0.5,0,0.5,0,0,0,0.5,1,0,0,NA,NA,Inf,NA,0,NA
"A.Jones","Toronto ",2,16,7,9,0,2,17,9,5,2,1,NA,NA,8,3.5,4.5,0,1,8.5,4.5,2.5,1,0.5,NA,NA,4.5,NA,0.269230769230769,0.411764705882353
"A.Shute","Saskatchewan ",1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"A.Sorichetti","San Diego ",1,0,0,0,0,0,0,0,8,1,1,NA,NA,0,0,0,0,0,0,0,8,1,1,NA,NA,0,NA,NA,NA
"A.Suitor","New England ",1,0,0,0,0,4,0,0,4,0,1,NA,NA,0,0,0,0,4,0,0,4,0,1,NA,NA,NA,NA,NA,NA
"A.Tulett","Toronto ",2,0,0,0,0,2,0,0,10,1,0,NA,NA,0,0,0,0,1,0,0,5,0.5,0,NA,NA,0,NA,NA,NA
"A.Wiedemann","Georgia ",1,1,0,1,0,0,0,0,10,0,0,NA,NA,1,0,1,0,0,0,0,10,0,0,NA,NA,Inf,NA,NA,NA
"B.Bomberry","Georgia ",1,1,1,0,0,0,1,0,2,0,0,NA,NA,1,1,0,0,0,1,0,2,0,0,NA,NA,NA,NA,1,1
"B.Clelland","San Diego ",1,1,1,0,0,0,1,0,1,0,0,9,27,1,1,0,0,0,1,0,1,0,0,9,27,NA,0.333333333333333,1,1
"B.Cole","Georgia ",1,2,0,2,0,0,3,1,3,2,0,NA,NA,2,0,2,0,0,3,1,3,2,0,NA,NA,1,NA,0,0
"B.Hostrawser","Toronto ",2,0,0,0,0,0,0,0,11,1,3,NA,NA,0,0,0,0,0,0,0,5.5,0.5,1.5,NA,NA,0,NA,NA,NA
"B.Kri","Toronto ",2,3,0,3,0,2,0,0,16,2,2,16,44,1.5,0,1.5,0,1,0,0,8,1,1,8,22,1.5,0.363636363636364,NA,NA
"B.Manney","New England ",1,0,0,0,0,0,0,1,3,0,0,NA,NA,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,0,NA
"B.McIntosh","Saskatchewan ",1,4,3,1,0,0,13,3,6,4,1,NA,NA,4,3,1,0,0,13,3,6,4,1,NA,NA,0.25,NA,0.1875,0.230769230769231
"B.Merrill","San Diego ",1,0,0,0,0,0,0,0,7,0,4,NA,NA,0,0,0,0,0,0,0,7,0,4,NA,NA,NA,NA,NA,NA
"B.Mydske","Saskatchewan ",1,0,0,0,0,0,1,0,6,0,0,NA,NA,0,0,0,0,0,1,0,6,0,0,NA,NA,NA,NA,0,0
"B.Self","Colorado ",2,0,0,0,0,0,1,0,8,0,2,NA,NA,0,0,0,0,0,0.5,0,4,0,1,NA,NA,NA,NA,0,0
"B.Slade","Toronto ",2,2,1,1,0,2,3,0,11,1,1,NA,NA,1,0.5,0.5,0,1,1.5,0,5.5,0.5,0.5,NA,NA,1,NA,0.333333333333333,0.333333333333333
"B.Sorensen","Toronto ",2,3,2,1,0,0,4,1,12,2,4,NA,NA,1.5,1,0.5,0,0,2,0.5,6,1,2,NA,NA,0.5,NA,0.4,0.5
"B.Sweeting","Buffalo ",4,2,1,1,0,2,2,1,11,1,5,NA,NA,0.5,0.25,0.25,0,0.5,0.5,0.25,2.75,0.25,1.25,NA,NA,1,NA,0.333333333333333,0.5
"C.Cloutier","Buffalo ",2,8,2,6,0,0,12,5,6,2,0,NA,NA,4,1,3,0,0,6,2.5,3,1,0,NA,NA,3,NA,0.117647058823529,0.166666666666667
