"Name","Team","Games","Points","G","A","PM","PIM","S","SOFF","LB","TO","CT","FO_W","FO","PointsPG","GPG","APG","PMPG","PIMPG","SPG","SOFFPG","LBPG","TOPG","CTPG","FO_WPG","FOPG","ATO_ration","FOpercent","ShootingPct","AdjShootingPct"
"A.Bold","Vancouver ",17,4,0,4,NA,0,0,0,10,2,0,NA,NA,0.235294117647059,0,0.235294117647059,NA,0,0,0,0.588235294117647,0.117647058823529,0,NA,NA,2,NA,NA,NA
"A.Bomberry","New England ",16,9,3,6,0,24,15,6,85,7,13,NA,NA,0.5625,0.1875,0.375,0,1.5,0.9375,0.375,5.3125,0.4375,0.8125,NA,NA,0.857142857142857,NA,0.142857142857143,0.2
"A.Buque","New England ",18,1,0,1,NA,0,1,0,2,0,0,NA,NA,0.0555555555555556,0,0.0555555555555556,NA,0,0.0555555555555556,0,0.111111111111111,0,0,NA,NA,Inf,NA,0,0
"A.Crepinsek","Georgia ",18,5,1,4,0,4,1,0,76,3,12,NA,NA,0.277777777777778,0.0555555555555556,0.222222222222222,0,0.222222222222222,0.0555555555555556,0,4.22222222222222,0.166666666666667,0.666666666666667,NA,NA,1.33333333333333,NA,1,1
"A.Gallant","Vancouver ",1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"A.Goodleaf","Rochester ",18,2,0,2,0,5,0,0,9,2,0,NA,NA,0.111111111111111,0,0.111111111111111,0,0.277777777777778,0,0,0.5,0.111111111111111,0,NA,NA,1,NA,NA,NA
"A.Jay","Toronto ",8,1,0,1,0,4,1,0,14,2,2,NA,NA,0.125,0,0.125,0,0.5,0.125,0,1.75,0.25,0.25,NA,NA,0.5,NA,0,0
"A.Joaquim","Philadelphia ",14,9,5,4,0,4,15,0,69,6,15,NA,NA,0.642857142857143,0.357142857142857,0.285714285714286,0,0.285714285714286,1.07142857142857,0,4.92857142857143,0.428571428571429,1.07142857142857,NA,NA,0.666666666666667,NA,0.333333333333333,0.333333333333333
"A.Jones","Toronto ",12,56,25,31,0,2,105,36,63,17,4,NA,NA,4.66666666666667,2.08333333333333,2.58333333333333,0,0.166666666666667,8.75,3,5.25,1.41666666666667,0.333333333333333,NA,NA,1.82352941176471,NA,0.177304964539007,0.238095238095238
"A.Kalinich","Calgary ",16,2,1,1,0,21,3,0,38,8,10,NA,NA,0.125,0.0625,0.0625,0,1.3125,0.1875,0,2.375,0.5,0.625,NA,NA,0.125,NA,0.333333333333333,0.333333333333333
"A.Osika","Philadelphia ",8,4,0,4,0,4,2,0,17,1,1,NA,NA,0.5,0,0.5,0,0.5,0.25,0,2.125,0.125,0.125,NA,NA,4,NA,0,0
"A.Perroni","New England ",2,0,0,0,0,0,0,0,4,0,0,NA,NA,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"A.Shanks","Rochester ",13,48,23,25,0,8,91,47,58,28,0,NA,NA,3.69230769230769,1.76923076923077,1.92307692307692,0,0.615384615384615,7,3.61538461538462,4.46153846153846,2.15384615384615,0,NA,NA,0.892857142857143,NA,0.166666666666667,0.252747252747253
"A.Shute","Saskatchewan ",18,2,0,2,NA,0,0,0,3,0,0,NA,NA,0.111111111111111,0,0.111111111111111,NA,0,0,0,0.166666666666667,0,0,NA,NA,Inf,NA,NA,NA
"A.Sorichetti","San Diego ",18,11,5,6,0,21,19,3,60,11,13,NA,NA,0.611111111111111,0.277777777777778,0.333333333333333,0,1.16666666666667,1.05555555555556,0.166666666666667,3.33333333333333,0.611111111111111,0.722222222222222,NA,NA,0.545454545454545,NA,0.227272727272727,0.263157894736842
"A.Staats","San Diego ",14,61,32,29,0,25,159,72,81,45,5,NA,NA,4.35714285714286,2.28571428571429,2.07142857142857,0,1.78571428571429,11.3571428571429,5.14285714285714,5.78571428571429,3.21428571428571,0.357142857142857,NA,NA,0.644444444444444,NA,0.138528138528139,0.20125786163522
"A.Suitor","New England ",18,10,3,7,0,40,17,4,84,17,21,17,53,0.555555555555556,0.166666666666667,0.388888888888889,0,2.22222222222222,0.944444444444444,0.222222222222222,4.66666666666667,0.944444444444444,1.16666666666667,0.944444444444444,2.94444444444444,0.411764705882353,0.320754716981132,0.142857142857143,0.176470588235294
