,Day,Date,Location,#,Name,Credit,Team,MIN,SV Q1,SV Q2,SV Q3,SV Q4,SV OT,SV,SOG,GA
0,Sun,1993-03-28,New York,0,D.Lee,loss,Baltimore ,15.0,37.0,0.0,0.0,,,37.0,0.0,0.0
1,Sun,1993-03-28,New York,0,S.LoCascio,win,New York ,15.0,29.0,0.0,0.0,,,29.0,0.0,0.0
2,Sat,1995-04-08,Philadelphia,30,S.Dietrich,loss,Rochester ,15.0,34.0,0.0,0.0,,,34.0,0.0,0.0
3,Sat,1995-04-08,Philadelphia,35,D.Eliuk,win,Philadelphia ,15.0,30.0,0.0,0.0,,,30.0,0.0,0.0
4,Sat,1997-04-05,Buffalo,0,S.LoCascio,,New York ,0.5833333333333334,27.0,0.0,0.0,,,27.0,0.0,0.0
5,Sat,1997-04-05,Buffalo,0,D.Maetche,loss,New York ,14.416666666666666,8.0,,,,,8.0,0.0,0.0
6,Sat,1997-04-05,Buffalo,0,R.Cowie,win,Buffalo ,15.0,42.0,0.0,0.0,,,42.0,0.0,0.0
7,Sat,1998-01-03,Ontario,0,S.Dietrich,win,Rochester ,15.0,39.0,0.0,0.0,,,39.0,0.0,0.0
8,Sat,1998-01-03,Ontario,0,B.Watson,loss,Ontario ,15.0,45.0,0.0,0.0,,,45.0,0.0,0.0
9,Fri,1999-01-22,Philadelphia,0,D.General,win,Rochester ,11.383333333333333,43.0,0.0,0.0,,,43.0,0.0,0.0
10,Fri,1999-01-22,Philadelphia,0,S.Dietrich,,Rochester ,3.6166666666666667,6.0,,,,,6.0,0.0,0.0
11,Fri,1999-01-22,Philadelphia,0,D.Eliuk,loss,Philadelphia ,15.0,42.0,0.0,0.0,,,42.0,0.0,0.0
12,Fri,1999-02-26,Toronto,0,S.LoCascio,,New York ,15.0,43.0,0.0,0.0,,,43.0,0.0,0.0
13,Fri,1999-02-26,Toronto,0,B.Watson,win,Toronto ,15.0,38.0,0.0,0.0,,,38.0,0.0,0.0
14,Fri,1999-04-02,Toronto,0,C.Sanderson,loss,Baltimore ,15.0,30.0,0.0,0.0,,,30.0,0.0,0.0
15,Fri,1999-04-02,Toronto,0,B.Watson,win,Toronto ,15.0,35.0,0.0,0.0,,,35.0,0.0,0.0
16,Sat,1999-04-03,Philadelphia,0,S.LoCascio,,New York ,15.0,39.0,0.0,0.0,,,39.0,0.0,0.0
17,Sat,1999-04-03,Philadelphia,0,D.Eliuk,win,Philadelphia ,15.0,50.0,0.0,0.0,,,50.0,0.0,0.0
18,Fri,1999-04-09,New York,0,B.Watson,,Toronto ,15.0,23.0,0.0,,,,23.0,0.0,0.0
19,Fri,1999-04-09,New York,0,R.Blasdell,win,Toronto ,0.0,,0.0,0.0,,,8.0,0.0,0.0
20,Fri,1999-04-09,New York,0,S.LoCascio,,New York ,0.0,,0.0,0.0,,,15.0,0.0,0.0
21,Fri,1999-04-09,New York,0,G.Cattrano,loss,New York ,15.0,15.0,0.0,,,,15.0,0.0,0.0
22,Sat,1995-04-08,Philadelphia,30,S.Dietrich,loss,Rochester ,15.0,34.0,0.0,0.0,,,34.0,0.0,0.0
23,Sat,1995-04-08,Philadelphia,35,D.Eliuk,win,Philadelphia ,15.0,30.0,0.0,0.0,,,30.0,0.0,0.0
24,Sat,1997-04-05,Buffalo,0,S.LoCascio,,New York ,0.5833333333333334,27.0,0.0,0.0,,,27.0,0.0,0.0
25,Sat,1997-04-05,Buffalo,0,D.Maetche,loss,New York ,14.416666666666666,8.0,,,,,8.0,0.0,0.0
26,Sat,1997-04-05,Buffalo,0,R.Cowie,win,Buffalo ,15.0,42.0,0.0,0.0,,,42.0,0.0,0.0
27,Sat,1998-01-03,Ontario,0,S.Dietrich,win,Rochester ,15.0,39.0,0.0,0.0,,,39.0,0.0,0.0
28,Sat,1998-01-03,Ontario,0,B.Watson,loss,Ontario ,15.0,45.0,0.0,0.0,,,45.0,0.0,0.0
29,Fri,1999-01-22,Philadelphia,0,D.General,win,Rochester ,11.383333333333333,43.0,0.0,0.0,,,43.0,0.0,0.0
30,Fri,1999-01-22,Philadelphia,0,S.Dietrich,,Rochester ,3.6166666666666667,6.0,,,,,6.0,0.0,0.0
31,Fri,1999-01-22,Philadelphia,0,D.Eliuk,loss,Philadelphia ,15.0,42.0,0.0,0.0,,,42.0,0.0,0.0
32,Fri,1999-02-26,Toronto,0,S.LoCascio,,New York ,15.0,43.0,0.0,0.0,,,43.0,0.0,0.0
33,Fri,1999-02-26,Toronto,0,B.Watson,win,Toronto ,15.0,38.0,0.0,0.0,,,38.0,0.0,0.0
34,Fri,1999-04-02,Toronto,0,C.Sanderson,loss,Baltimore ,15.0,30.0,0.0,0.0,,,30.0,0.0,0.0
35,Fri,1999-04-02,Toronto,0,B.Watson,win,Toronto ,15.0,35.0,0.0,0.0,,,35.0,0.0,0.0
36,Sat,1999-04-03,Philadelphia,0,S.LoCascio,,New York ,15.0,39.0,0.0,0.0,,,39.0,0.0,0.0
37,Sat,1999-04-03,Philadelphia,0,D.Eliuk,win,Philadelphia ,15.0,50.0,0.0,0.0,,,50.0,0.0,0.0
38,Fri,1999-04-09,New York,0,B.Watson,,Toronto ,15.0,23.0,0.0,,,,23.0,0.0,0.0
39,Fri,1999-04-09,New York,0,R.Blasdell,win,Toronto ,0.0,,0.0,0.0,,,8.0,0.0,0.0
40,Fri,1999-04-09,New York,0,S.LoCascio,,New York ,0.0,,0.0,0.0,,,15.0,0.0,0.0
41,Fri,1999-04-09,New York,0,G.Cattrano,loss,New York ,15.0,15.0,0.0,,,,15.0,0.0,0.0
42,Sat,1999-04-10,Rochester,0,D.Eliuk,loss,Philadelphia ,15.0,35.0,0.0,0.0,,,35.0,0.0,0.0
43,Sat,1999-04-10,Rochester,0,P.O'Toole,win,Rochester ,15.0,38.0,0.0,0.0,,,38.0,0.0,0.0
44,Sat,2000-02-05,Buffalo,0,D.General,loss,Albany ,15.0,24.0,0.0,,,,24.0,0.0,0.0
45,Sat,2000-02-05,Buffalo,0,R.Blasdell,,Albany ,0.0,,0.0,0.0,,,15.0,0.0,0.0
46,Sat,2000-02-05,Buffalo,0,M.Disher,win,Buffalo ,15.0,53.0,0.0,0.0,,,53.0,0.0,0.0
47,Fri,2000-02-11,New York,0,A.Piazza,win,Philadelphia ,15.0,49.0,0.0,0.0,,,49.0,0.0,0.0
48,Fri,2000-02-11,New York,0,G.Nash,,New York ,15.0,20.0,0.0,,,,20.0,0.0,0.0
49,Fri,2000-02-11,New York,0,C.Levis,loss,New York ,0.0,,0.0,0.0,,,14.0,0.0,0.0
50,Fri,2000-02-11,Toronto,0,P.O'Toole,loss,Rochester ,15.0,40.0,0.0,0.0,,,40.0,0.0,0.0
51,Fri,2000-02-11,Toronto,0,B.Watson,win,Toronto ,15.0,37.0,0.0,0.0,,,37.0,0.0,0.0
52,Sun,2000-02-13,Syracuse,0,G.Nash,win,New York ,15.0,45.0,0.0,0.0,,,45.0,0.0,0.0
53,Sun,2000-02-13,Syracuse,0,D.Collins,loss,Syracuse ,15.0,45.0,0.0,0.0,,,45.0,0.0,0.0
54,Fri,2000-02-18,Buffalo,0,P.O'Toole,loss,Rochester ,1.1833333333333333,17.0,0.0,0.0,,,17.0,0.0,0.0
55,Fri,2000-02-18,Buffalo,0,S.Dietrich,,Rochester ,13.816666666666666,19.0,,,,,19.0,0.0,0.0
56,Fri,2000-02-18,Buffalo,0,M.Disher,win,Buffalo ,15.0,48.0,0.0,0.0,,,48.0,0.0,0.0
57,Fri,2000-03-10,Pittsburgh,0,P.O'Toole,win,Rochester ,15.0,37.0,0.0,0.0,,,37.0,0.0,0.0
58,Fri,2000-03-10,Pittsburgh,0,D.Dalep,,Pittsburgh ,5.883333333333333,25.0,0.0,0.0,,,25.0,0.0,0.0
59,Fri,2000-03-10,Pittsburgh,0,E.Miller,loss,Pittsburgh ,9.116666666666667,3.0,,,,,3.0,0.0,0.0
60,Sat,2000-03-18,Rochester,0,M.O'Neill,loss,Buffalo ,8.733333333333333,21.0,0.0,0.0,,,21.0,0.0,0.0
61,Sat,2000-03-18,Rochester,0,M.Disher,,Buffalo ,6.266666666666667,2.0,,,,,2.0,0.0,0.0
62,Sat,2000-03-18,Rochester,0,P.O'Toole,win,Rochester ,15.0,43.0,0.0,0.0,,,43.0,0.0,0.0
63,Fri,2000-03-31,New York,0,P.O'Toole,win,Rochester ,15.0,45.0,0.0,0.0,,,45.0,0.0,0.0
64,Fri,2000-03-31,New York,0,G.Nash,loss,New York ,15.0,33.0,0.0,0.0,,,33.0,0.0,0.0
65,Sat,2000-04-15,Rochester,0,D.Eliuk,loss,Philadelphia ,15.0,39.0,0.0,0.0,,,39.0,0.0,0.0
66,Sat,2000-04-15,Rochester,0,P.O'Toole,win,Rochester ,15.0,38.0,0.0,0.0,,,38.0,0.0,0.0
67,Sat,2000-04-22,Toronto,0,D.Eliuk,loss,Philadelphia ,15.0,29.0,0.0,0.0,,,29.0,0.0,0.0
68,Sat,2000-04-22,Toronto,0,B.Watson,win,Toronto ,15.0,44.0,0.0,0.0,,,44.0,0.0,0.0
69,Fri,2001-01-05,Albany,0,G.Nash,,New York ,15.0,39.0,0.0,0.0,,,39.0,0.0,0.0
70,Fri,2001-01-05,Albany,0,G.Beres,,New York ,0.0,,,0.0,,,1.0,0.0,0.0
71,Fri,2001-01-05,Albany,0,R.Blasdell,win,Albany ,15.0,44.0,0.0,0.0,,,44.0,0.0,0.0
72,Sun,2001-01-07,Washington,0,S.Dietrich,loss,Rochester ,15.0,52.0,0.0,0.0,,,52.0,0.0,0.0
73,Sun,2001-01-07,Washington,0,P.O'Toole,,Rochester ,0.0,,,0.0,,,1.0,0.0,0.0
74,Sun,2001-01-07,Washington,0,E.Miller,win,Washington ,15.0,40.0,0.0,,,,40.0,0.0,0.0
75,Sun,2001-01-07,Washington,0,D.Dalep,,Washington ,0.0,,0.0,0.0,,,6.0,0.0,0.0
76,Sat,2001-11-24,Calgary,0,C.Palidwor,win,Montreal ,15.0,45.0,0.0,0.0,,,45.0,0.0,0.0
77,Sat,2001-11-24,Calgary,0,D.Collins,loss,Calgary ,1.4,26.0,0.0,0.0,,,26.0,0.0,0.0
78,Sat,2001-11-24,Calgary,0,M.King,,Calgary ,13.6,10.0,,,,,10.0,0.0,0.0
79,Fri,2001-11-30,New Jersey,0,G.Nash,win,New York ,15.0,46.0,0.0,0.0,,,46.0,0.0,0.0
80,Fri,2001-11-30,New Jersey,0,D.General,loss,New Jersey ,15.0,40.0,0.0,0.0,,,40.0,0.0,0.0
81,Sun,2001-12-02,Ottawa,0,M.King,win,Calgary ,15.0,49.0,0.0,0.0,,,49.0,0.0,0.0
82,Sun,2001-12-02,Ottawa,0,M.Disher,loss,Ottawa ,15.0,54.0,0.0,0.0,,,54.0,0.0,0.0
83,Sat,2001-12-08,New Jersey,0,R.Blasdell,win,Albany ,15.0,47.0,0.0,0.0,,,47.0,0.0,0.0
84,Sat,2001-12-08,New Jersey,0,D.General,loss,New Jersey ,15.0,41.0,0.0,0.0,,,41.0,0.0,0.0
85,Fri,2001-12-21,Ottawa,0,P.O'Toole,win,Rochester ,15.0,34.0,0.0,0.0,,,34.0,0.0,0.0
86,Fri,2001-12-21,Ottawa,0,A.Leyshon,loss,Ottawa ,15.0,46.0,0.0,0.0,,,46.0,0.0,0.0
87,Sun,2001-12-23,Vancouver,0,D.General,,New Jersey ,0.0,,0.0,0.0,,,26.0,0.0,0.0
88,Sun,2001-12-23,Vancouver,0,M.Roik,loss,New Jersey ,15.0,18.0,0.0,,,,18.0,0.0,0.0
89,Sun,2001-12-23,Vancouver,0,D.Maetche,win,Vancouver ,15.0,28.0,0.0,,,,28.0,0.0,0.0
90,Sun,2001-12-23,Vancouver,0,C.Miller,,Vancouver ,0.0,,0.0,0.0,,,9.0,0.0,0.0
